LR,RF,ADA,GB,QDA,LDA,LinearSVM,RBFSVM,Subject,feature_size
0.4655555555555556,0.4688888888888889,0.611111111111111,0.37555555555555553,0.47555555555555556,0.4377777777777777,0.47111111111111115,0.4255555555555556,NF101,"(96, 12)"
0.37444444444444447,0.47111111111111115,0.4688888888888889,0.4822222222222222,0.4488888888888889,0.5611111111111111,0.4555555555555556,0.3433333333333334,NF101,"(96, 12)"
0.43555555555555553,0.5511111111111111,0.5966666666666667,0.5133333333333333,0.5211111111111111,0.5044444444444445,0.47000000000000003,0.4166666666666667,NF101,"(96, 12)"
0.4688888888888888,0.5655555555555556,0.47666666666666674,0.47888888888888886,0.5422222222222223,0.5522222222222222,0.48,0.38777777777777783,NF101,"(96, 12)"
0.4688888888888889,0.6022222222222222,0.65,0.4177777777777778,0.5911111111111111,0.37444444444444447,0.5277777777777778,0.3933333333333334,NF101,"(96, 12)"
0.42222222222222217,0.47000000000000003,0.43,0.4822222222222222,0.4022222222222222,0.508888888888889,0.43555555555555553,0.42777777777777787,NF101,"(96, 12)"
0.48,0.5833333333333334,0.5344444444444445,0.5033333333333334,0.5077777777777778,0.55,0.5111111111111111,0.34222222222222226,NF101,"(96, 12)"
0.4988888888888889,0.37555555555555553,0.37777777777777777,0.5255555555555556,0.58,0.5144444444444444,0.46777777777777774,0.39555555555555555,NF101,"(96, 12)"
0.4855555555555554,0.49111111111111105,0.45111111111111113,0.40444444444444444,0.53,0.3988888888888889,0.5088888888888888,0.32222222222222224,NF101,"(96, 12)"
0.5355555555555556,0.5144444444444444,0.44666666666666666,0.4833333333333334,0.4655555555555555,0.4655555555555555,0.39666666666666667,0.4055555555555556,NF101,"(96, 12)"
0.38333333333333336,0.5166666666666666,0.4288888888888889,0.5044444444444445,0.5522222222222222,0.5311111111111112,0.5533333333333335,0.40444444444444444,NF101,"(96, 12)"
0.39666666666666667,0.45,0.4488888888888889,0.5166666666666666,0.5255555555555554,0.5144444444444445,0.4488888888888889,0.36444444444444446,NF101,"(96, 12)"
0.4033333333333333,0.5288888888888889,0.49111111111111116,0.45,0.47777777777777775,0.48666666666666664,0.45555555555555555,0.38222222222222224,NF101,"(96, 12)"
0.591111111111111,0.49000000000000005,0.4988888888888889,0.3011111111111111,0.5111111111111112,0.53,0.47888888888888886,0.4455555555555556,NF101,"(96, 12)"
0.5522222222222222,0.4666666666666667,0.4922222222222222,0.5077777777777778,0.3611111111111111,0.45777777777777773,0.5322222222222222,0.38555555555555554,NF101,"(96, 12)"
0.5233333333333333,0.43111111111111117,0.45555555555555555,0.5722222222222223,0.6055555555555555,0.45888888888888885,0.5733333333333334,0.3433333333333334,NF101,"(96, 12)"
0.46333333333333326,0.5955555555555556,0.48888888888888893,0.5033333333333334,0.4688888888888889,0.44333333333333336,0.5155555555555555,0.39333333333333337,NF101,"(96, 12)"
0.4655555555555555,0.44333333333333336,0.34444444444444444,0.49777777777777776,0.48777777777777775,0.43666666666666665,0.5522222222222222,0.3844444444444444,NF101,"(96, 12)"
0.45666666666666667,0.4633333333333334,0.5622222222222222,0.4377777777777778,0.5399999999999999,0.40555555555555556,0.5855555555555555,0.38555555555555554,NF101,"(96, 12)"
0.47444444444444445,0.46777777777777774,0.591111111111111,0.5277777777777778,0.45,0.5277777777777777,0.5288888888888889,0.3855555555555556,NF101,"(96, 12)"
0.5433333333333333,0.48666666666666664,0.4055555555555556,0.32222222222222224,0.5022222222222222,0.3933333333333334,0.49777777777777776,0.3755555555555556,NF101,"(96, 12)"
0.508888888888889,0.4811111111111111,0.4522222222222223,0.45555555555555555,0.4688888888888889,0.49000000000000005,0.4655555555555556,0.42666666666666664,NF101,"(96, 12)"
0.5255555555555556,0.5333333333333333,0.5533333333333333,0.508888888888889,0.39555555555555555,0.5255555555555556,0.41,0.39666666666666667,NF101,"(96, 12)"
0.5933333333333333,0.47888888888888886,0.37444444444444447,0.4488888888888889,0.49111111111111116,0.5511111111111111,0.5122222222222222,0.3555555555555555,NF101,"(96, 12)"
0.45888888888888896,0.5044444444444445,0.29888888888888887,0.5333333333333334,0.44666666666666666,0.5311111111111111,0.4133333333333334,0.44666666666666666,NF101,"(96, 12)"
0.51,0.4288888888888889,0.3988888888888889,0.4288888888888889,0.39555555555555555,0.5944444444444444,0.54,0.4144444444444445,NF101,"(96, 12)"
0.4133333333333333,0.4811111111111111,0.38000000000000006,0.4255555555555556,0.5544444444444444,0.5222222222222223,0.52,0.3766666666666667,NF101,"(96, 12)"
0.5122222222222222,0.4677777777777778,0.4033333333333333,0.4977777777777777,0.33444444444444443,0.4488888888888889,0.4977777777777779,0.42444444444444446,NF101,"(96, 12)"
0.5633333333333332,0.6211111111111112,0.5,0.40555555555555556,0.3844444444444445,0.5422222222222223,0.4488888888888889,0.38777777777777783,NF101,"(96, 12)"
0.5222222222222223,0.4477777777777778,0.5311111111111112,0.53,0.4822222222222223,0.47333333333333333,0.3844444444444445,0.4255555555555556,NF101,"(96, 12)"
0.5555555555555556,0.4477777777777778,0.4988888888888889,0.4666666666666667,0.5166666666666666,0.4066666666666666,0.4555555555555556,0.3855555555555556,NF101,"(96, 12)"
0.518888888888889,0.6444444444444445,0.4188888888888889,0.5455555555555556,0.5677777777777777,0.52,0.518888888888889,0.3955555555555556,NF101,"(96, 12)"
0.5022222222222222,0.4333333333333333,0.42000000000000004,0.37555555555555553,0.5444444444444445,0.4166666666666667,0.48999999999999994,0.3866666666666667,NF101,"(96, 12)"
