LR,RF,ADA,GB,QDA,LDA,LinearSVM,RBFSVM,Subject,feature_size
0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.5555555555555556,0.6666666666666666,0.4444444444444444,NF106,"(96, 12)"
0.5555555555555556,0.5555555555555556,0.6666666666666666,0.6666666666666666,0.7777777777777778,0.6666666666666666,0.5555555555555556,0.4444444444444444,NF106,"(96, 12)"
0.3,0.4,0.5,0.5,0.7,0.3,0.3,0.3,NF107,"(96, 12)"
0.3,0.5,0.5,0.5,0.5,0.4,0.3,0.3,NF107,"(96, 12)"
0.6,0.6,0.5,0.5,0.5,0.6,0.4,0.4,NF107,"(96, 12)"
0.3,0.6,0.5,0.5,0.4,0.3,0.8,0.2,NF107,"(96, 12)"
0.4,0.6,0.7,0.5,0.8,0.4,0.1,0.1,NF107,"(96, 12)"
0.5,0.3,0.6,0.5,0.7,0.6,0.6,0.4,NF107,"(96, 12)"
0.3333333333333333,0.6666666666666666,0.5555555555555556,0.6666666666666666,0.5555555555555556,0.3333333333333333,0.4444444444444444,0.4444444444444444,NF107,"(96, 12)"
0.4444444444444444,0.7777777777777778,0.6666666666666666,0.6666666666666666,0.7777777777777778,0.4444444444444444,0.6666666666666666,0.3333333333333333,NF107,"(96, 12)"
0.3333333333333333,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.4444444444444444,NF107,"(96, 12)"
0.4444444444444444,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.6666666666666666,0.5555555555555556,0.4444444444444444,NF107,"(96, 12)"
0.9,0.5,0.7,0.4,0.5,0.7,0.3,0.3,NF108,"(96, 12)"
0.2,0.8,0.7,0.5,0.6,0.5,0.4,0.3,NF108,"(96, 12)"
0.5,0.8,0.3,0.4,0.3,0.5,0.5,0.4,NF108,"(96, 12)"
0.6,0.3,0.5,0.3,0.6,0.6,0.2,0.2,NF108,"(96, 12)"
0.5,0.6,0.6,0.5,0.4,0.5,1.0,0.1,NF108,"(96, 12)"
0.6,0.3,0.3,0.4,0.7,0.5,0.6,0.4,NF108,"(96, 12)"
0.6666666666666666,0.4444444444444444,0.5555555555555556,0.5555555555555556,0.8888888888888888,0.5555555555555556,0.5555555555555556,0.4444444444444444,NF108,"(96, 12)"
0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5555555555555556,0.6666666666666666,0.6666666666666666,0.5555555555555556,0.3333333333333333,NF108,"(96, 12)"
0.6666666666666666,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.4444444444444444,NF108,"(96, 12)"
0.4444444444444444,0.6666666666666666,0.5555555555555556,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.4444444444444444,0.4444444444444444,NF108,"(96, 12)"
0.5,0.8,0.9,0.6,0.8,0.6,0.7,0.3,NF109,"(96, 12)"
0.5,0.6,0.5,0.7,0.4,0.5,0.3,0.3,NF109,"(96, 12)"
0.6,0.8,1.0,0.9,0.6,0.7,0.4,0.4,NF109,"(96, 12)"
0.7,0.7,0.8,0.6,0.8,0.7,0.2,0.2,NF109,"(96, 12)"
0.3,0.5,0.4,0.5,0.4,0.3,0.1,0.1,NF109,"(96, 12)"
0.5,0.5,0.9,0.5,0.7,0.6,0.6,0.4,NF109,"(96, 12)"
0.7777777777777778,0.5555555555555556,0.7777777777777778,0.7777777777777778,0.8888888888888888,0.7777777777777778,0.4444444444444444,0.4444444444444444,NF109,"(96, 12)"
0.4444444444444444,0.7777777777777778,0.7777777777777778,0.6666666666666666,0.7777777777777778,0.5555555555555556,0.6666666666666666,0.3333333333333333,NF109,"(96, 12)"
0.6666666666666666,0.5555555555555556,0.2222222222222222,0.3333333333333333,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.4444444444444444,NF109,"(96, 12)"
0.3333333333333333,0.5555555555555556,0.4444444444444444,0.6666666666666666,0.4444444444444444,0.3333333333333333,0.4444444444444444,0.4444444444444444,NF109,"(96, 12)"
0.6,0.7,0.7,0.8,0.9,0.5,0.3,0.3,NF110,"(96, 12)"
0.6,0.2,0.6,0.6,0.5,0.6,0.7,0.3,NF110,"(96, 12)"
0.7,0.8,0.5,0.6,0.7,0.7,0.7,0.4,NF110,"(96, 12)"
0.9,0.6,0.8,0.6,0.7,0.8,0.8,0.2,NF110,"(96, 12)"
0.5,0.5,0.6,0.6,0.6,0.5,0.4,0.1,NF110,"(96, 12)"
0.7,0.7,0.9,0.9,0.4,0.6,0.4,0.4,NF110,"(96, 12)"
0.5555555555555556,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5555555555555556,0.4444444444444444,NF110,"(96, 12)"
0.6666666666666666,0.6666666666666666,0.7777777777777778,0.6666666666666666,0.5555555555555556,0.6666666666666666,0.6666666666666666,0.3333333333333333,NF110,"(96, 12)"
0.6666666666666666,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.5555555555555556,0.6666666666666666,0.4444444444444444,NF110,"(96, 12)"
0.4444444444444444,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.4444444444444444,0.4444444444444444,0.5555555555555556,0.4444444444444444,NF110,"(96, 12)"
0.1,0.6,0.6,0.5,0.3,0.4,0.3,0.3,NF111,"(96, 12)"
0.4,0.5,0.6,0.4,0.6,0.5,0.7,0.3,NF111,"(96, 12)"
0.6,0.7,0.5,0.5,0.5,0.6,0.6,0.4,NF111,"(96, 12)"
0.6,0.9,0.7,0.5,0.4,0.4,0.2,0.2,NF111,"(96, 12)"
0.4,0.3,0.5,0.5,0.8,0.7,0.1,0.1,NF111,"(96, 12)"
0.7,0.6,0.5,0.6,0.5,0.8,0.3,0.4,NF111,"(96, 12)"
0.4444444444444444,0.7777777777777778,0.4444444444444444,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.4444444444444444,0.4444444444444444,NF111,"(96, 12)"
0.6666666666666666,0.5555555555555556,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7777777777777778,0.6666666666666666,0.3333333333333333,NF111,"(96, 12)"
0.6666666666666666,0.7777777777777778,0.8888888888888888,0.5555555555555556,0.6666666666666666,0.6666666666666666,0.5555555555555556,0.4444444444444444,NF111,"(96, 12)"
0.5555555555555556,0.3333333333333333,0.6666666666666666,0.5555555555555556,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.4444444444444444,NF111,"(96, 12)"
